ID_SEKOLAH	ROMBEL	KELAS	TIDAK NAIK	JAPRES
17	36	10	0	74
18	36	10	0	38
19	36	10	0	16
20	36	10	0	48
21	36	9	0	42
22	36	10	0	8
25	36	10	0	36
26	36	8	0	17
27	36	8	0	0
28	36	9	0	20
29	36	8	0	3
30	36	9	0	1
31	36	9	0	4
32	36	7	0	3
33	36	9	0	4
34	36	8	0	0
35	36	6	0	0
36	36	8	0	1
37	36	8	0	0
38	36	11	0	8
39	36	9	0	2
40	36	7	0	2
41	36	9	0	0
42	36	7	0	0
43	36	10	0	10
44	36	10	0	3
45	36	9	0	2
46	36	8	0	0
47	36	6	0	1
48	36	8	0	1
49	36	8	0	0
50	36	9	0	2
51	36	10	0	3
52	36	8	0	2
53	36	12	0	4
54	36	11	0	10
55	36	8	0	8
56	36	10	0	8
57	36	10	0	3
58	36	9	0	7
59	36	11	0	3
60	36	10	0	1
61	36	10	0	0
62	36	8	0	1
63	36	7	0	0
64	36	10	0	13
71002	36	0	0	0
71004	36	0	0	0
71010	36	0	0	0
71012	36	0	0	0
71013	36	0	0	0
71043	36	0	0	0
71055	36	0	0	0
72106	36	0	0	0
72107	36	0	0	0
72109	36	0	0	0
72110	36	0	0	0
72111	36	0	0	0
73063	36	0	0	0
73065	36	0	0	0
73100	36	0	0	0
73101	36	0	0	0
73102	36	0	0	0
73104	36	0	0	0
74012	36	0	0	0
74013	36	0	0	0
74043	36	0	0	0
74046	36	0	0	0
74050	36	0	0	0
74051	36	0	0	0
74052	36	0	0	0
74053	36	0	0	0
74054	36	0	0	0
74064	36	0	0	0
75043	36	0	0	0
75056	36	0	0	0
75065	36	0	0	0
75111	36	0	0	0
75117	36	0	0	0
75118	36	0	0	0
